,id,Trades,Profit Trades,Loss Trades,Best trade,Worst trade,Gross Profit,Gross Loss,Maximum consecutive wins,Maximal consecutive profit,Sharpe Ratio,Trading activity,Max deposit load,Latest trade,Trades per week,Avg holding time,Recovery Factor,Long Trades,Short Trades,Profit Factor,Expected Payoff,Average Profit,Average Loss,Maximum consecutive losses,Maximal consecutive loss,Monthly growth,Annual Forecast,Algo trading,Absolute,Maximal,By Balance,By Equity
0,1269059,2 056,1 579 (76.79%),477 (23.20%),27.04 USD,-80.93 USD,"815.79 USD
 (69 299 pips)","-830.16 USD
 (41 048 pips)",25 (7.97 USD),36.96 USD (16),-0.02,16.06%,101.39%,12 hours ago,3.0,2 hours,-0.06,1 357 (66.00%),699 (34.00%),0.98,-0.01 USD,0.52 USD,-1.74 USD,8 (-19.02 USD),-127.80 USD (5),7.96%,96.58%,88%,189.87 USD,232.65 USD (250.75%),67.55% (232.65 USD),28.94% (27.29 USD)
0,1656187,27,23 (85.18%),4 (14.81%),11.30 USD,-6.46 USD,"103.58 USD
 (5 236 pips)","-17.52 USD
 (763 pips)",12 (46.14 USD),46.14 USD (12),0.79,73.73%,3.59%,5 hours ago,3.0,12 hours,8.8,16 (59.26%),11 (40.74%),5.91,3.19 USD,4.50 USD,-4.38 USD,2 (-9.72 USD),-9.72 USD (2),9.08%,,92%,0.06 USD,9.78 USD (1.73%),1.73% (9.78 USD),3.68% (19.12 USD)
0,1522092,824,519 (62.98%),305 (37.01%),4 185.00 JPY,-8 400.00 JPY,"219 891.00 JPY
 (77 851 pips)","-248 429.00 JPY
 (77 025 pips)",54 (19 340.00 JPY),27 315.00 JPY (18),-0.03,21.06%,42.83%,3 hours ago,109.0,2 hours,-0.25,315 (38.23%),509 (61.77%),0.89,-34.63 JPY,423.68 JPY,-814.52 JPY,22 (-75 405.00 JPY),-75 405.00 JPY (22),-1.85%,-22.45%,92%,74 254.00 JPY,112 737.00 JPY (33.31%),8.35% (112 737.00 JPY),5.45% (71 338.00 JPY)
0,1521375,48,47 (97.91%),1 (2.08%),8.49 USD,-31.94 USD,"74.10 USD
 (7 628 pips)","-33.38 USD
 (3 175 pips)",32 (56.85 USD),56.85 USD (32),0.22,12.47%,50.01%,12 days ago,0.0,6 hours,1.27,33 (68.75%),15 (31.25%),2.22,0.85 USD,1.58 USD,-33.38 USD,1 (-31.94 USD),-31.94 USD (1),4.49%,,100%,0.03 USD,32.00 USD (15.54%),14.95% (31.97 USD),14.40% (30.79 USD)
0,1371567,3 897,2 798 (71.79%),1 099 (28.20%),7 020.00 USD,-1 940.89 USD,"109 660.66 USD
 (12 904 484 pips)","-55 356.38 USD
 (11 022 679 pips)",49 (424.92 USD),11 378.22 USD (10),0.06,94.58%,5.74%,5 minutes ago,158.0,17 hours,5.57,1 932 (49.58%),1 965 (50.42%),1.98,13.93 USD,39.19 USD,-50.37 USD,21 (-3 954.44 USD),-9 755.60 USD (9),2.56%,31.00%,99%,7 543.72 USD,9 755.60 USD (7.51%),7.49% (9 755.60 USD),28.71% (35 857.73 USD)
0,1605314,15,15 (100.00%),0 (0.00%),23.91 GBP,0.00 GBP,"212.70 GBP
 (3 432 pips)",0.00 GBP,15 (212.70 GBP),212.70 GBP (15),2.02,55.70%,4.43%,3 hours ago,4.0,2 days,0.0,12 (80.00%),3 (20.00%),,14.18 GBP,14.18 GBP,0.00 GBP,0 (0.00 GBP),0.00 GBP (0),14.68%,,100%,0.00 GBP,0.00 GBP (0.00%),0.00% (0.00 GBP),12.60% (140.10 GBP)
0,1625582,34,32 (94.11%),2 (5.88%),1.56 USD,-0.87 USD,"18.56 USD
 (2 170 pips)","-1.49 USD
 (161 pips)",12 (7.07 USD),7.07 USD (12),1.18,64.51%,35.12%,3 days ago,13.0,11 hours,19.62,17 (50.00%),17 (50.00%),12.46,0.50 USD,0.58 USD,-0.75 USD,1 (-0.87 USD),-0.87 USD (1),15.94%,,94%,0.00 USD,0.87 USD (1.38%),0.79% (0.87 USD),14.35% (8.25 USD)
0,1558215,28,26 (92.85%),2 (7.14%),19.99 USD,-7.31 USD,"42.06 USD
 (4 171 pips)","-7.46 USD
 (899 pips)",18 (13.51 USD),28.55 USD (8),0.28,44.73%,1.65%,1 day ago,2.0,1 day,4.73,19 (67.86%),9 (32.14%),5.64,1.24 USD,1.62 USD,-3.73 USD,1 (-7.31 USD),-7.31 USD (1),1.78%,,100%,0.00 USD,7.31 USD (0.57%),0.57% (7.31 USD),2.62% (33.34 USD)
0,1619723,26,26 (100.00%),0 (0.00%),417.26 USD,0.00 USD,"3 127.00 USD
 (19 703 pips)",0.00 USD,26 (3 127.00 USD),3 127.00 USD (26),1.23,31.39%,6.96%,35 minutes ago,8.0,13 hours,0.0,12 (46.15%),14 (53.85%),,120.27 USD,120.27 USD,0.00 USD,0 (0.00 USD),0.00 USD (0),6.25%,,0%,0.00 USD,0.00 USD (0.00%),0.00% (0.00 USD),2.05% (1 082.98 USD)
0,1396184,425,377 (88.70%),48 (11.29%),45.62 USD,-41.42 USD,"820.35 USD
 (860 880 pips)","-605.25 USD
 (537 324 pips)",61 (30.99 USD),81.58 USD (3),0.07,99.06%,16.52%,4 hours ago,32.0,7 days,2.12,425 (100.00%),0 (0.00%),1.36,0.51 USD,2.18 USD,-12.61 USD,3 (-75.95 USD),-75.95 USD (3),-0.01%,-0.12%,98%,1.84 USD,101.40 USD (8.01%),4.47% (101.40 USD),58.23% (1 186.47 USD)
