,id,Trades,Profit Trades,Loss Trades,Best trade,Worst trade,Gross Profit,Gross Loss,Maximum consecutive wins,Maximal consecutive profit,Sharpe Ratio,Trading activity,Max deposit load,Latest trade,Trades per week,Avg holding time,Recovery Factor,Long Trades,Short Trades,Profit Factor,Expected Payoff,Average Profit,Average Loss,Maximum consecutive losses,Maximal consecutive loss,Monthly growth,Annual Forecast,Algo trading,Absolute,Maximal,By Balance,By Equity
0,1189801,604,289 (47.84%),315 (52.15%),2 081.68 AUD,-554.33 AUD,"31 751.20 AUD
 (304 284 pips)","-10 915.38 AUD
 (1 311 535 pips)",27 (44.55 AUD),4 828.59 AUD (6),0.19,78.56%,82.39%,7 hours ago,17.0,3 days,15.46,320 (52.98%),284 (47.02%),2.91,34.50 AUD,109.87 AUD,-34.65 AUD,15 (-309.27 AUD),-1 207.61 AUD (3),5.83%,73.17%,1%,0.04 AUD,1 347.90 AUD (20.10%),1.52% (8.35 AUD),23.86% (20 559.97 AUD)
0,1361360,956,645 (67.46%),311 (32.53%),74.53 USD,-16.73 USD,"1 749.50 USD
 (50 486 pips)","-720.98 USD
 (37 421 pips)",24 (13.38 USD),121.95 USD (5),0.19,34.57%,13.04%,2 hours ago,37.0,4 hours,12.19,311 (32.53%),645 (67.47%),2.43,1.08 USD,2.71 USD,-2.32 USD,7 (-81.62 USD),-81.62 USD (7),12.84%,155.80%,100%,0.00 USD,84.38 USD (3.80%),3.80% (84.38 USD),27.06% (575.62 USD)
0,1348602,449,357 (79.51%),92 (20.49%),15.86 USD,-11.55 USD,"353.05 USD
 (145 202 pips)","-157.73 USD
 (46 301 pips)",40 (146.72 USD),146.72 USD (40),0.18,57.95%,11.64%,6 days ago,2.0,11 hours,2.38,232 (51.67%),217 (48.33%),2.24,0.44 USD,0.99 USD,-1.71 USD,12 (-82.18 USD),-82.18 USD (12),1.24%,18.44%,0%,14.61 USD,82.18 USD (25.88%),15.88% (82.18 USD),30.72% (137.61 USD)
0,1470772,826,493 (59.68%),333 (40.31%),36.70 EUR,-47.59 EUR,"3 603.54 EUR
 (164 098 pips)","-2 492.62 EUR
 (138 061 pips)",19 (112.39 EUR),135.53 EUR (11),0.18,67.11%,30.76%,7 hours ago,38.0,1 day,5.07,410 (49.64%),416 (50.36%),1.45,1.34 EUR,7.31 EUR,-7.49 EUR,13 (-17.44 EUR),-77.05 EUR (3),4.09%,49.65%,88%,45.69 EUR,219.13 EUR (13.05%),17.13% (220.46 EUR),52.44% (662.29 EUR)
0,1484983,277,204 (73.64%),73 (26.35%),657.87 USD,-119.30 USD,"5 740.35 USD
 (52 697 pips)","-1 904.38 USD
 (30 740 pips)",21 (183.70 USD),902.53 USD (3),0.2,80.37%,6.31%,2 hours ago,20.0,2 days,6.52,125 (45.13%),152 (54.87%),3.01,13.85 USD,28.14 USD,-26.09 USD,7 (-587.99 USD),-587.99 USD (7),5.44%,66.64%,86%,385.83 USD,587.99 USD (7.20%),7.20% (587.99 USD),24.50% (2 000.52 USD)
0,1339793,1 286,938 (72.93%),348 (27.06%),20.61 AUD,-33.20 AUD,"672.10 AUD
 (50 484 pips)","-578.76 AUD
 (38 670 pips)",27 (16.92 AUD),37.51 AUD (17),0.06,10.57%,62.99%,4 hours ago,10.0,2 hours,1.62,475 (36.94%),811 (63.06%),1.16,0.07 AUD,0.72 AUD,-1.66 AUD,9 (-25.21 AUD),-49.33 AUD (2),9.78%,118.63%,100%,19.45 AUD,57.61 AUD (22.91%),23.03% (58.00 AUD),10.34% (23.12 AUD)
0,1548883,532,332 (62.40%),200 (37.59%),20.16 USD,-21.56 USD,"724.66 USD
 (82 153 pips)","-476.27 USD
 (52 900 pips)",9 (15.07 USD),25.26 USD (2),0.12,84.57%,8.93%,3 hours ago,50.0,1 day,7.12,277 (52.07%),255 (47.93%),1.52,0.47 USD,2.18 USD,-2.38 USD,4 (-9.66 USD),-33.58 USD (2),19.61%,,100%,2.51 USD,34.90 USD (6.30%),6.30% (34.90 USD),25.85% (158.24 USD)
0,1574306,410,296 (72.19%),114 (27.80%),34.84 USD,-19.68 USD,"976.99 USD
 (65 477 pips)","-389.57 USD
 (36 833 pips)",12 (31.02 USD),38.37 USD (6),0.29,40.27%,5.16%,1 hour ago,37.0,2 hours,8.95,132 (32.20%),278 (67.80%),2.51,1.43 USD,3.30 USD,-3.42 USD,5 (-65.60 USD),-65.60 USD (5),17.44%,,6%,0.00 USD,65.60 USD (4.19%),4.38% (65.60 USD),12.40% (183.88 USD)
0,1372778,467,305 (65.31%),162 (34.69%),79.29 USD,-35.89 USD,"1 554.65 USD
 (103 405 pips)","-989.14 USD
 (84 238 pips)",14 (102.08 USD),102.08 USD (14),0.12,100.00%,9.06%,5 hours ago,25.0,4 days,2.0,313 (67.02%),154 (32.98%),1.57,1.21 USD,5.10 USD,-6.11 USD,14 (-200.54 USD),-200.54 USD (14),11.22%,136.14%,98%,0.00 USD,282.70 USD (18.69%),18.73% (282.70 USD),30.08% (456.16 USD)
0,1501221,1 459,1 040 (71.28%),419 (28.72%),121.95 USD,-248.76 USD,"6 909.79 USD
 (208 870 pips)","-5 652.23 USD
 (157 147 pips)",25 (174.48 USD),658.32 USD (12),0.07,78.99%,11.09%,3 hours ago,20.0,2 days,1.19,567 (38.86%),892 (61.14%),1.22,0.86 USD,6.64 USD,-13.49 USD,12 (-74.91 USD),-1 030.39 USD (10),5.08%,61.58%,97%,191.82 USD,1 054.21 USD (23.95%),23.83% (1 050.01 USD),37.75% (1 160.55 USD)
0,836167,1 563,1 033 (66.09%),530 (33.91%),457.00 USD,-313.11 USD,"10 234.53 USD
 (185 091 pips)","-5 334.73 USD
 (169 528 pips)",16 (149.64 USD),498.70 USD (2),0.1,86.16%,59.62%,6 hours ago,17.0,2 days,3.76,774 (49.52%),789 (50.48%),1.92,3.13 USD,9.91 USD,-10.07 USD,11 (-1 154.09 USD),-1 154.09 USD (11),14.06%,170.56%,97%,0.00 USD,1 303.33 USD (37.82%),35.79% (1 303.33 USD),58.64% (735.05 USD)
0,1454421,599,438 (73.12%),161 (26.88%),53.21 EUR,-27.31 EUR,"3 678.01 EUR
 (179 621 pips)","-1 364.69 EUR
 (113 006 pips)",34 (325.39 EUR),325.39 EUR (34),0.34,72.79%,5.29%,7 hours ago,19.0,3 days,37.65,367 (61.27%),232 (38.73%),2.7,3.86 EUR,8.40 EUR,-8.48 EUR,3 (-51.99 EUR),-53.59 EUR (2),1.55%,18.83%,100%,0.00 EUR,61.45 EUR (0.86%),1.07% (59.84 EUR),22.22% (1 350.47 EUR)
0,1502186,1 767,1 372 (77.64%),395 (22.35%),30.33 USD,-33.00 USD,"2 691.33 USD
 (151 871 pips)","-1 744.91 USD
 (39 303 pips)",52 (74.98 USD),129.64 USD (19),0.15,21.32%,23.60%,9 minutes ago,99.0,2 hours,4.41,797 (45.10%),970 (54.90%),1.54,0.54 USD,1.96 USD,-4.42 USD,20 (-65.24 USD),-94.42 USD (6),20.53%,249.04%,87%,3.71 USD,214.61 USD (20.45%),9.36% (215.88 USD),14.49% (311.14 USD)
0,1333106,704,481 (68.32%),223 (31.68%),258.86 USD,-189.28 USD,"5 987.91 USD
 (135 649 pips)","-3 553.01 USD
 (143 492 pips)",12 (37.37 USD),258.86 USD (1),0.11,100.00%,28.93%,37 minutes ago,24.0,1 day,12.86,338 (48.01%),366 (51.99%),1.69,3.46 USD,12.45 USD,-15.93 USD,1 (-189.28 USD),-189.28 USD (1),8.29%,100.60%,100%,0.00 USD,189.28 USD (5.74%),6.32% (162.63 USD),51.26% (1 657.52 USD)
0,1400484,5 572,2 838 (50.93%),2 734 (49.07%),1 467.90 USD,-1 193.40 USD,"174 282.51 USD
 (343 911 pips)","-155 335.91 USD
 (303 145 pips)",13 (723.31 USD),2 918.00 USD (4),0.03,7.72%,10.61%,19 hours ago,22.0,17 minutes,5.19,2 188 (39.27%),3 384 (60.73%),1.12,3.40 USD,61.41 USD,-56.82 USD,14 (-1 364.80 USD),-3 115.80 USD (10),6.37%,77.25%,29%,1 246.00 USD,3 647.66 USD (17.45%),21.13% (3 647.66 USD),5.86% (907.20 USD)
0,1620994,326,262 (80.36%),64 (19.63%),4.96 USD,-28.55 USD,"402.98 USD
 (35 574 pips)","-244.62 USD
 (16 963 pips)",60 (101.68 USD),101.68 USD (60),0.24,39.31%,22.14%,36 minutes ago,40.0,4 hours,2.15,97 (29.75%),229 (70.25%),1.65,0.49 USD,1.54 USD,-3.82 USD,10 (-24.08 USD),-38.83 USD (3),4.72%,,100%,15.04 USD,73.59 USD (22.92%),23.46% (26.08 USD),34.70% (106.73 USD)
0,1489477,564,360 (63.82%),204 (36.17%),96.20 EUR,-155.79 EUR,"2 871.83 EUR
 (33 055 pips)","-2 528.72 EUR
 (26 566 pips)",21 (53.36 EUR),195.18 EUR (10),0.08,66.13%,12.02%,18 hours ago,44.0,5 hours,0.94,301 (53.37%),263 (46.63%),1.14,0.61 EUR,7.98 EUR,-12.40 EUR,9 (-210.92 EUR),-210.92 EUR (9),-1.78%,-21.54%,100%,186.80 EUR,363.81 EUR (34.41%),27.69% (293.89 EUR),10.71% (139.43 EUR)
0,1542690,52,38 (73.07%),14 (26.92%),88.22 USD,-61.02 USD,"936.67 USD
 (6 221 pips)","-290.30 USD
 (1 908 pips)",12 (353.46 USD),353.46 USD (12),0.49,16.50%,17.48%,2 hours ago,2.0,9 hours,8.54,22 (42.31%),30 (57.69%),3.23,12.43 USD,24.65 USD,-20.74 USD,2 (-75.72 USD),-75.72 USD (2),8.96%,,96%,0.00 USD,75.72 USD (7.22%),5.12% (28.31 USD),25.29% (124.60 USD)
0,1591349,211,128 (60.66%),83 (39.34%),247.85 USD,-39.63 USD,"739.35 USD
 (422 731 pips)","-443.71 USD
 (931 199 pips)",11 (20.59 USD),252.23 USD (3),0.1,19.37%,9.09%,17 hours ago,14.0,3 hours,4.74,137 (64.93%),74 (35.07%),1.67,1.40 USD,5.78 USD,-5.35 USD,5 (-55.78 USD),-55.78 USD (5),43.19%,524.04%,0%,34.59 USD,62.33 USD (68.69%),43.16% (18.48 USD),14.53% (79.04 USD)
0,1022175,1 145,899 (78.51%),246 (21.48%),1 429.63 BRL,-900.00 BRL,"56 941.28 BRL
 (3 010 438 pips)","-16 125.65 BRL
 (356 205 pips)",80 (2 663.05 BRL),2 736.70 BRL (29),0.33,9.58%,99.98%,1 day ago,34.0,55 minutes,17.38,558 (48.73%),587 (51.27%),3.53,35.65 BRL,63.34 BRL,-65.55 BRL,13 (-1 606.56 BRL),-1 774.00 BRL (3),-2.64%,-32.08%,97%,0.00 BRL,2 347.99 BRL (2.63%),4.63% (2 347.99 BRL),32.30% (16 200.00 BRL)
0,1499075,577,331 (57.36%),246 (42.63%),23.74 USD,-17.15 USD,"915.37 USD
 (110 615 pips)","-700.27 USD
 (81 993 pips)",11 (20.87 USD),35.70 USD (6),0.09,100.00%,4.70%,13 minutes ago,20.0,1 day,2.64,319 (55.29%),258 (44.71%),1.31,0.37 USD,2.77 USD,-2.85 USD,6 (-11.44 USD),-27.52 USD (4),12.02%,145.82%,100%,3.51 USD,81.49 USD (13.07%),13.07% (81.49 USD),34.56% (219.61 USD)
0,1538412,248,207 (83.46%),41 (16.53%),74.98 USD,-20.76 USD,"430.24 USD
 (17 505 pips)","-290.27 USD
 (21 250 pips)",25 (15.18 USD),90.62 USD (2),0.07,22.40%,15.74%,2 days ago,19.0,13 hours,1.71,120 (48.39%),128 (51.61%),1.48,0.56 USD,2.08 USD,-7.08 USD,5 (-81.62 USD),-81.62 USD (5),4.50%,54.55%,99%,67.77 USD,81.62 USD (21.67%),22.85% (68.77 USD),37.49% (151.73 USD)
0,1501340,1 001,734 (73.32%),267 (26.67%),109.35 USD,-262.62 USD,"5 505.81 USD
 (195 980 pips)","-3 456.47 USD
 (115 594 pips)",27 (146.52 USD),658.25 USD (17),0.12,100.00%,7.52%,3 hours ago,22.0,2 days,2.3,369 (36.86%),632 (63.14%),1.59,2.05 USD,7.50 USD,-12.95 USD,11 (-74.78 USD),-676.36 USD (6),0.91%,10.99%,99%,149.49 USD,891.96 USD (13.78%),15.89% (887.62 USD),36.99% (1 896.08 USD)
0,1608556,698,491 (70.34%),207 (29.66%),108.61 EUR,-176.23 EUR,"6 181.83 EUR
 (150 366 pips)","-3 832.41 EUR
 (52 071 pips)",25 (360.33 EUR),360.33 EUR (25),0.15,51.97%,1.96%,7 hours ago,20.0,2 days,2.14,348 (49.86%),350 (50.14%),1.61,3.37 EUR,12.59 EUR,-18.51 EUR,6 (-267.16 EUR),-276.83 EUR (2),1.39%,16.88%,99%,0.24 EUR,1 096.15 EUR (21.76%),40.57% (138.27 EUR),3.42% (337.32 EUR)
0,1110888,62,42 (67.74%),20 (32.26%),14.53 USD,-15.65 USD,"276.49 USD
 (19 183 pips)","-192.84 USD
 (10 115 pips)",7 (29.36 USD),43.27 USD (6),0.22,27.28%,2.48%,18 hours ago,4.0,2 days,1.29,27 (43.55%),35 (56.45%),1.43,1.35 USD,6.58 USD,-9.64 USD,4 (-60.78 USD),-60.78 USD (4),-16.69%,-100.00%,100%,1.72 USD,64.68 USD (20.32%),20.28% (64.57 USD),5.19% (13.98 USD)
0,1529447,258,105 (40.69%),153 (59.30%),123.50 USD,-55.50 USD,"1 817.54 USD
 (1 141 401 pips)","-1 249.64 USD
 (909 452 pips)",23 (304.69 USD),563.72 USD (8),0.13,17.75%,37.44%,17 hours ago,41.0,4 hours,1.96,91 (35.27%),167 (64.73%),1.45,2.20 USD,17.31 USD,-8.17 USD,32 (-139.52 USD),-158.85 USD (3),-18.45%,-100.00%,0%,57.09 USD,289.94 USD (15.61%),24.62% (289.94 USD),12.36% (116.53 USD)
0,1549421,678,488 (71.97%),190 (28.02%),431.16 USD,-134.95 USD,"5 452.19 USD
 (102 468 pips)","-3 073.04 USD
 (73 538 pips)",21 (93.76 USD),493.59 USD (2),0.12,78.77%,9.59%,6 hours ago,25.0,2 days,6.24,336 (49.56%),342 (50.44%),1.77,3.51 USD,11.17 USD,-16.17 USD,4 (-153.03 USD),-306.35 USD (3),11.01%,133.64%,98%,0.00 USD,381.39 USD (7.00%),7.30% (381.39 USD),15.72% (351.38 USD)
0,1613009,1 802,1 594 (88.45%),208 (11.54%),131.15 USD,-72.85 USD,"3 319.07 USD
 (113 567 pips)","-1 400.04 USD
 (74 879 pips)",72 (46.02 USD),1 405.56 USD (37),0.12,64.22%,27.48%,38 minutes ago,46.0,4 hours,10.55,681 (37.79%),1 121 (62.21%),2.37,1.06 USD,2.08 USD,-6.73 USD,10 (-108.61 USD),-178.82 USD (3),73.74%,894.76%,100%,0.04 USD,181.84 USD (14.58%),16.08% (153.05 USD),10.14% (256.27 USD)
0,1417893,293,201 (68.60%),92 (31.40%),752.49 USD,-774.90 USD,"7 463.93 USD
 (226 345 pips)","-6 162.12 USD
 (234 361 pips)",3 (295.54 USD),767.51 USD (2),0.06,100.00%,19.42%,2 days ago,2.0,1 day,1.68,144 (49.15%),149 (50.85%),1.21,4.44 USD,37.13 USD,-66.98 USD,1 (-774.90 USD),-774.90 USD (1),3.63%,44.06%,99%,0.00 USD,774.90 USD (18.58%),18.58% (774.90 USD),20.03% (684.71 USD)
0,1510575,371,254 (68.46%),117 (31.54%),20.60 GBP,-24.82 GBP,"689.36 GBP
 (45 009 pips)","-555.19 GBP
 (20 666 pips)",25 (26.47 GBP),45.76 GBP (16),0.1,38.41%,7.19%,24 hours ago,13.0,7 hours,1.32,210 (56.60%),161 (43.40%),1.24,0.36 GBP,2.71 GBP,-4.75 GBP,11 (-4.86 GBP),-43.00 GBP (2),14.90%,180.78%,100%,6.61 GBP,101.90 GBP (29.48%),22.30% (101.80 GBP),15.95% (66.04 GBP)
0,1245792,409,180 (44.00%),229 (55.99%),24.45 EUR,-9.42 EUR,"1 393.76 EUR
 (79 522 pips)","-887.19 EUR
 (48 989 pips)",11 (75.30 EUR),102.11 EUR (6),0.18,30.55%,50.54%,2 hours ago,13.0,6 hours,5.36,223 (54.52%),186 (45.48%),1.57,1.24 EUR,7.74 EUR,-3.87 EUR,11 (-44.52 EUR),-44.52 EUR (11),3.29%,39.91%,94%,6.51 EUR,94.53 EUR (6.59%),6.60% (94.57 EUR),0.79% (7.95 EUR)
0,1571148,172,132 (76.74%),40 (23.26%),28.37 USD,-34.98 USD,"509.22 USD
 (310 750 pips)","-347.81 USD
 (258 187 pips)",16 (44.81 USD),56.25 USD (10),0.13,16.91%,26.99%,2 hours ago,16.0,3 hours,1.66,22 (12.79%),150 (87.21%),1.46,0.94 USD,3.86 USD,-8.70 USD,3 (-79.78 USD),-79.78 USD (3),20.64%,,95%,0.00 USD,97.09 USD (15.62%),30.41% (97.09 USD),25.49% (85.36 USD)
0,1608180,498,374 (75.10%),124 (24.90%),12.10 USD,-29.44 USD,"856.33 USD
 (17 334 pips)","-527.61 USD
 (6 159 pips)",21 (41.04 USD),68.83 USD (18),0.34,20.66%,25.08%,8 hours ago,58.0,5 hours,5.24,224 (44.98%),274 (55.02%),1.62,0.66 USD,2.29 USD,-4.25 USD,7 (-25.92 USD),-35.00 USD (4),17.13%,,99%,1.14 USD,62.73 USD (8.41%),5.70% (61.65 USD),9.40% (87.32 USD)
0,1579281,489,411 (84.04%),78 (15.95%),249.24 USD,-106.25 USD,"3 834.89 USD
 (69 384 pips)","-1 108.30 USD
 (39 105 pips)",74 (530.82 USD),590.01 USD (15),0.28,100.00%,9.35%,2 hours ago,49.0,1 day,7.98,235 (48.06%),254 (51.94%),3.46,5.58 USD,9.33 USD,-14.21 USD,10 (-256.66 USD),-315.15 USD (6),39.13%,,91%,0.00 USD,341.56 USD (4.28%),5.17% (341.56 USD),44.53% (2 405.56 USD)
0,1347873,1 999,1 155 (57.77%),844 (42.22%),129.52 EUR,-282.25 EUR,"3 744.44 EUR
 (521 372 pips)","-4 604.21 EUR
 (301 857 pips)",21 (7.61 EUR),569.04 EUR (8),-0.02,16.22%,20.14%,6 hours ago,42.0,7 hours,-0.64,869 (43.47%),1 130 (56.53%),0.81,-0.43 EUR,3.24 EUR,-5.46 EUR,17 (-63.97 EUR),-410.40 EUR (2),-8.26%,-100.00%,79%,975.33 EUR,1 353.00 EUR (27.74%),24.19% (1 318.97 EUR),10.93% (99.27 EUR)
0,1319049,987,906 (91.79%),81 (8.21%),69.36 USD,-37.45 USD,"988.68 USD
 (63 428 pips)","-499.13 USD
 (35 832 pips)",43 (40.87 USD),98.10 USD (3),0.13,59.88%,27.18%,42 minutes ago,62.0,11 hours,5.69,583 (59.07%),404 (40.93%),1.98,0.50 USD,1.09 USD,-6.16 USD,3 (-85.93 USD),-85.93 USD (3),9.07%,110.11%,100%,0.04 USD,86.11 USD (9.73%),9.75% (86.29 USD),47.08% (271.68 USD)
0,1035888,1 211,895 (73.90%),316 (26.09%),1 140.72 USD,-329.58 USD,"31 604.40 USD
 (276 711 pips)","-13 077.20 USD
 (183 319 pips)",38 (830.42 USD),1 140.72 USD (1),0.22,57.28%,8.86%,7 hours ago,18.0,3 days,19.87,692 (57.14%),519 (42.86%),2.42,15.30 USD,35.31 USD,-41.38 USD,7 (-9.54 USD),-932.57 USD (5),1.22%,14.84%,96%,201.06 USD,932.57 USD (5.28%),3.26% (226.04 USD),17.97% (6 604.88 USD)
0,1518233,353,307 (86.96%),46 (13.03%),440.06 USD,-359.66 USD,"13 851.51 USD
 (57 449 pips)","-2 752.97 USD
 (17 145 pips)",82 (2 161.03 USD),6 688.29 USD (60),0.41,28.20%,13.55%,42 minutes ago,30.0,8 hours,17.16,170 (48.16%),183 (51.84%),5.03,31.44 USD,45.12 USD,-59.85 USD,6 (-646.67 USD),-646.67 USD (6),63.21%,767.01%,0%,0.00 USD,646.67 USD (6.49%),15.93% (646.67 USD),20.06% (834.95 USD)
0,1501171,1 920,1 368 (71.25%),552 (28.75%),121.95 USD,-249.12 USD,"8 542.86 USD
 (250 589 pips)","-6 641.81 USD
 (170 905 pips)",25 (174.87 USD),659.25 USD (12),0.08,100.00%,8.58%,3 hours ago,20.0,2 days,2.13,779 (40.57%),1 141 (59.43%),1.29,0.99 USD,6.24 USD,-12.03 USD,15 (-130.91 USD),-676.24 USD (5),1.10%,13.39%,99%,391.75 USD,892.74 USD (14.34%),17.30% (888.40 USD),37.39% (1 894.80 USD)
0,1579388,173,131 (75.72%),42 (24.28%),22.00 USD,-10.22 USD,"178.63 USD
 (19 288 pips)","-90.24 USD
 (7 689 pips)",15 (13.12 USD),27.26 USD (5),0.23,71.89%,10.52%,6 hours ago,22.0,14 hours,4.58,90 (52.02%),83 (47.98%),1.98,0.51 USD,1.36 USD,-2.15 USD,5 (-6.64 USD),-19.28 USD (3),22.46%,,94%,0.07 USD,19.28 USD (8.79%),8.87% (19.56 USD),22.17% (48.28 USD)
0,1501470,695,537 (77.26%),158 (22.73%),22.48 USD,-12.27 USD,"791.63 USD
 (3 508 376 pips)","-312.70 USD
 (2 747 532 pips)",43 (35.77 USD),78.26 USD (6),0.21,99.51%,2.30%,13 hours ago,30.0,18 hours,6.15,695 (100.00%),0 (0.00%),2.53,0.69 USD,1.47 USD,-1.98 USD,8 (-77.82 USD),-77.82 USD (8),10.21%,123.89%,100%,0.00 USD,77.82 USD (4.81%),4.67% (77.82 USD),13.13% (215.66 USD)
0,1583237,543,412 (75.87%),131 (24.13%),31.99 USD,-31.20 USD,"906.79 USD
 (69 837 pips)","-455.74 USD
 (34 032 pips)",17 (29.08 USD),40.01 USD (2),0.19,87.15%,21.13%,3 hours ago,56.0,19 hours,7.33,257 (47.33%),286 (52.67%),1.99,0.83 USD,2.20 USD,-3.48 USD,6 (-58.59 USD),-61.50 USD (2),84.40%,1 024.09%,91%,39.97 USD,61.50 USD (6.33%),20.77% (61.50 USD),27.31% (143.27 USD)
0,1568187,960,691 (71.97%),269 (28.02%),312.41 USD,-80.59 USD,"11 262.28 USD
 (289 279 pips)","-3 196.40 USD
 (133 755 pips)",35 (378.21 USD),526.50 USD (7),0.32,100.00%,18.84%,6 hours ago,54.0,3 days,59.1,602 (62.71%),358 (37.29%),3.52,8.40 USD,16.30 USD,-11.88 USD,5 (-1.68 USD),-136.47 USD (4),17.28%,,100%,0.00 USD,136.47 USD (1.06%),1.02% (99.95 USD),45.08% (5 648.66 USD)
0,1440886,104,85 (81.73%),19 (18.27%),50.93 USD,-25.07 USD,"784.37 USD
 (35 935 pips)","-119.12 USD
 (6 319 pips)",16 (244.16 USD),244.16 USD (16),0.51,66.07%,7.72%,6 hours ago,10.0,2 days,23.24,58 (55.77%),46 (44.23%),6.58,6.40 USD,9.23 USD,-6.27 USD,3 (-3.32 USD),-28.63 USD (2),15.35%,186.26%,22%,0.00 USD,28.63 USD (8.77%),7.12% (10.80 USD),12.49% (133.29 USD)
0,1573546,70,56 (80.00%),14 (20.00%),21.40 USD,-38.42 USD,"337.32 USD
 (11 777 pips)","-142.66 USD
 (5 492 pips)",14 (76.72 USD),76.72 USD (14),0.33,38.08%,7.00%,23 hours ago,8.0,9 hours,5.07,31 (44.29%),39 (55.71%),2.36,2.78 USD,6.02 USD,-10.19 USD,2 (-18.80 USD),-38.42 USD (1),12.21%,,81%,0.62 USD,38.42 USD (5.76%),7.30% (38.08 USD),16.79% (88.48 USD)
0,1073310,578,436 (75.43%),142 (24.57%),3 519.76 USD,-3 470.16 USD,"116 623.82 USD
 (166 688 pips)","-47 992.90 USD
 (83 087 pips)",18 (4 802.48 USD),6 049.44 USD (11),0.21,28.75%,16.66%,2 days ago,7.0,15 hours,10.44,578 (100.00%),0 (0.00%),2.43,118.74 USD,267.49 USD,-337.98 USD,5 (-2 731.67 USD),-3 470.16 USD (1),2.75%,33.40%,77%,0.00 USD,6 572.08 USD (13.15%),6.18% (6 572.08 USD),51.50% (52 099.08 USD)
0,1607449,177,134 (75.70%),43 (24.29%),101.44 USD,-24.80 USD,"496.17 USD
 (10 272 pips)","-192.46 USD
 (8 231 pips)",15 (15.17 USD),107.85 USD (3),0.17,60.00%,61.37%,43 minutes ago,27.0,6 hours,6.2,93 (52.54%),84 (47.46%),2.58,1.72 USD,3.70 USD,-4.48 USD,4 (-49.02 USD),-49.02 USD (4),56.13%,,100%,0.43 USD,49.02 USD (8.09%),8.09% (49.02 USD),34.05% (205.97 USD)
0,1427358,1 283,1 074 (83.71%),209 (16.29%),336.10 USD,-313.35 USD,"9 408.08 USD
 (5 325 858 pips)","-4 958.78 USD
 (4 151 330 pips)",66 (225.16 USD),338.38 USD (2),0.13,99.62%,46.49%,6 hours ago,63.0,22 hours,10.92,656 (51.13%),627 (48.87%),1.9,3.47 USD,8.76 USD,-23.73 USD,15 (-407.35 USD),-407.35 USD (15),2.79%,33.83%,100%,0.00 USD,407.35 USD (3.17%),3.17% (407.35 USD),15.07% (1 825.49 USD)
0,1501322,1 335,967 (72.43%),368 (27.57%),219.06 USD,-524.52 USD,"12 494.46 USD
 (221 040 pips)","-8 755.15 USD
 (132 157 pips)",28 (291.84 USD),1 316.72 USD (17),0.1,100.00%,7.53%,3 hours ago,22.0,2 days,2.1,494 (37.00%),841 (63.00%),1.43,2.80 USD,12.92 USD,-23.79 USD,11 (-150.16 USD),-1 349.36 USD (6),0.91%,10.98%,99%,666.46 USD,1 782.28 USD (14.15%),15.89% (1 773.60 USD),37.16% (3 791.37 USD)
0,1558068,115,78 (67.82%),37 (32.17%),98.41 GBP,-130.52 GBP,"1 637.98 GBP
 (32 975 pips)","-1 229.51 GBP
 (24 415 pips)",12 (192.55 GBP),383.08 GBP (10),0.14,76.26%,6.15%,6 hours ago,18.0,19 hours,1.66,58 (50.43%),57 (49.57%),1.33,3.55 GBP,21.00 GBP,-33.23 GBP,4 (-117.63 GBP),-130.52 GBP (1),1.18%,,100%,0.00 GBP,245.40 GBP (15.74%),15.74% (245.40 GBP),11.45% (172.68 GBP)
0,1594078,396,313 (79.04%),83 (20.96%),5.98 USD,-27.38 USD,"1 138.17 USD
 (145 398 pips)","-534.60 USD
 (66 774 pips)",42 (158.05 USD),158.05 USD (42),0.31,92.27%,6.49%,18 hours ago,63.0,2 days,3.34,287 (72.47%),109 (27.53%),2.13,1.52 USD,3.64 USD,-6.44 USD,6 (-105.58 USD),-105.58 USD (6),21.83%,,0%,0.00 USD,180.58 USD (13.41%),9.22% (179.50 USD),31.63% (821.80 USD)
0,911765,781,594 (76.05%),187 (23.94%),2.19 CHF,-3.13 CHF,"173.82 CHF
 (21 780 pips)","-106.62 CHF
 (8 934 pips)",22 (7.16 CHF),7.16 CHF (22),0.26,4.30%,66.77%,10 hours ago,4.0,50 minutes,5.87,399 (51.09%),382 (48.91%),1.63,0.09 CHF,0.29 CHF,-0.57 CHF,4 (-2.46 CHF),-4.75 CHF (3),-3.37%,-40.89%,100%,1.89 CHF,11.44 CHF (4.64%),4.60% (11.35 CHF),2.13% (5.20 CHF)
0,1030998,161,68 (42.23%),93 (57.76%),104.37 EUR,-39.68 EUR,"699.25 EUR
 (35 990 pips)","-520.34 EUR
 (27 925 pips)",6 (45.33 EUR),120.38 EUR (5),0.1,59.16%,99.26%,2 days ago,3.0,2 days,2.18,61 (37.89%),100 (62.11%),1.34,1.11 EUR,10.28 EUR,-5.60 EUR,9 (-40.53 EUR),-52.78 EUR (4),-6.70%,-81.23%,0%,7.99 EUR,81.95 EUR (16.52%),13.20% (81.84 EUR),20.42% (97.25 EUR)
